survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
530,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-06-02,2017-05-30,2017-06-01,1301,7,AfD,Alternative für Deutschland,8.0,DAWUM
531,0,Bundestag,Bundestag,YouGov,YouGov,Unbekannt,2017-06-02,2017-05-29,2017-05-31,2040,7,AfD,Alternative für Deutschland,9.0,DAWUM
532,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-06-03,2017-05-24,2017-05-31,1838,7,AfD,Alternative für Deutschland,8.0,DAWUM
533,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-06-06,2017-06-02,2017-06-06,2037,7,AfD,Alternative für Deutschland,8.0,DAWUM
534,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-06-06,2017-05-30,2017-06-06,10084,7,AfD,Alternative für Deutschland,8.9,DAWUM
535,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-06-07,2017-05-29,2017-06-02,2501,7,AfD,Alternative für Deutschland,7.0,DAWUM
536,0,Bundestag,Bundestag,Infratest dimap,ARD-Tagesthemen,Unbekannt,2017-06-08,2017-06-06,2017-06-07,1503,7,AfD,Alternative für Deutschland,9.0,DAWUM
537,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-06-10,2017-06-01,2017-06-07,1398,7,AfD,Alternative für Deutschland,8.0,DAWUM
538,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-06-12,2017-06-09,2017-06-12,2051,7,AfD,Alternative für Deutschland,9.0,DAWUM
539,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-06-13,2017-06-06,2017-06-09,2004,7,AfD,Alternative für Deutschland,7.0,DAWUM
540,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-06-13,2017-06-06,2017-06-13,10076,7,AfD,Alternative für Deutschland,8.5,DAWUM
541,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-06-15,2017-06-09,2017-06-12,1054,7,AfD,Alternative für Deutschland,9.0,DAWUM
542,0,Bundestag,Bundestag,Infratest dimap,ARD-Morgenmagazin,Unbekannt,2017-06-16,2017-06-12,2017-06-13,1018,7,AfD,Alternative für Deutschland,8.0,DAWUM
544,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-06-17,2017-06-08,2017-06-13,2054,7,AfD,Alternative für Deutschland,8.0,DAWUM
545,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-06-20,2017-06-16,2017-06-19,2040,7,AfD,Alternative für Deutschland,9.0,DAWUM
546,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-06-20,2017-06-17,2017-06-20,10091,7,AfD,Alternative für Deutschland,7.8,DAWUM
547,0,Bundestag,Bundestag,Allensbach,Frankfurter Allgemeine Zeitung,Unbekannt,2017-06-20,2017-06-01,2017-06-15,1437,7,AfD,Alternative für Deutschland,6.5,DAWUM
548,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-06-21,2017-06-12,2017-06-16,2505,7,AfD,Alternative für Deutschland,7.0,DAWUM
554,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-06-23,2017-06-20,2017-06-22,1261,7,AfD,Alternative für Deutschland,7.0,DAWUM
555,0,Bundestag,Bundestag,YouGov,YouGov,Unbekannt,2017-06-23,2017-06-19,2017-06-22,1523,7,AfD,Alternative für Deutschland,7.0,DAWUM
556,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-06-24,2017-06-16,2017-06-21,1363,7,AfD,Alternative für Deutschland,8.0,DAWUM
557,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-06-27,2017-06-23,2017-06-26,2056,7,AfD,Alternative für Deutschland,8.5,DAWUM
558,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-06-27,2017-06-20,2017-06-27,10153,7,AfD,Alternative für Deutschland,7.7,DAWUM
559,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-06-28,2017-06-19,2017-06-23,2502,7,AfD,Alternative für Deutschland,7.0,DAWUM
560,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-06-29,2017-06-23,2017-06-26,1052,7,AfD,Alternative für Deutschland,9.0,DAWUM
561,0,Bundestag,Bundestag,YouGov,RedaktionsNetzwerk Deutschland (RND),Unbekannt,2017-06-29,2017-06-26,2017-06-28,2000,7,AfD,Alternative für Deutschland,8.0,DAWUM
562,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-07-01,2017-06-22,2017-06-24,936,7,AfD,Alternative für Deutschland,7.0,DAWUM
563,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-07-03,2017-06-30,2017-07-03,2044,7,AfD,Alternative für Deutschland,9.0,DAWUM
564,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-07-04,2017-06-27,2017-07-04,10149,7,AfD,Alternative für Deutschland,7.5,DAWUM
565,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-07-05,2017-06-26,2017-06-30,2503,7,AfD,Alternative für Deutschland,7.0,DAWUM
567,0,Bundestag,Bundestag,GMS,GMS,Unbekannt,2017-07-06,2017-06-29,2017-07-05,1009,7,AfD,Alternative für Deutschland,7.0,DAWUM
568,0,Bundestag,Bundestag,Infratest dimap,ARD-Tagesthemen,Unbekannt,2017-07-06,2017-07-03,2017-07-05,1500,7,AfD,Alternative für Deutschland,9.0,DAWUM
569,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-07-07,2017-07-04,2017-07-06,1321,7,AfD,Alternative für Deutschland,7.0,DAWUM
570,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-07-08,2017-06-30,2017-07-05,1878,7,AfD,Alternative für Deutschland,7.0,DAWUM
571,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-07-11,2017-07-03,2017-07-07,2501,7,AfD,Alternative für Deutschland,8.0,DAWUM
572,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-07-11,2017-07-07,2017-07-10,2009,7,AfD,Alternative für Deutschland,9.5,DAWUM
573,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-07-11,2017-07-04,2017-07-11,10170,7,AfD,Alternative für Deutschland,8.2,DAWUM
574,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-07-13,2017-07-07,2017-07-11,1047,7,AfD,Alternative für Deutschland,8.0,DAWUM
