month,year_month,month_dt,year,month_num,text_indicator_month_has_articles,n_articles_text_indicators,mean_word_count,median_word_count,total_word_count,migration_terms_per_1000_mean,migration_terms_total,share_articles_with_migration_terms,security_terms_per_1000_mean,security_terms_total,share_articles_with_security_terms,afd_far_right_terms_per_1000_mean,afd_far_right_terms_total,share_articles_with_afd_far_right_terms,remigration_democracy_terms_per_1000_mean,remigration_democracy_terms_total,share_articles_with_remigration_democracy_terms,negative_threat_terms_per_1000_mean,negative_threat_terms_total,share_articles_with_negative_threat_terms,security_share_of_migration_context_mean,migration_terms_per_1000_median,security_terms_per_1000_median,afd_far_right_terms_per_1000_median,remigration_democracy_terms_per_1000_median,negative_threat_terms_per_1000_median
2017-10,2017-10,2017-10-01,2017,10,True,43,771.4651162790698,671.0,33173,28.074464192535025,891,1.0,2.078985252174641,63,0.5581395348837209,1.1578196702304788,40,0.32558139534883723,0.4457029024717581,11,0.13953488372093023,2.7712010719771545,112,0.7209302325581395,0.09886841973783476,28.890959925442683,0.9694619486185168,0.0,0.0,2.1739130434782608
2017-11,2017-11,2017-11-01,2017,11,True,45,575.7777777777778,508.0,25910,32.0897789932588,807,1.0,3.2555732147965215,74,0.4666666666666667,0.7067251548672513,16,0.24444444444444444,0.053036329885971886,2,0.022222222222222223,4.124332467747367,104,0.7555555555555555,0.10872228791433437,32.03883495145631,0.0,0.0,0.0,2.2522522522522523
2017-12,2017-12,2017-12-01,2017,12,True,45,583.9555555555555,539.0,26278,32.47134758183124,843,1.0,3.202134218250834,92,0.5333333333333333,0.5918604688523946,23,0.2,0.15946159685494377,5,0.08888888888888889,4.15609643053322,113,0.7111111111111111,0.13202167192169803,33.80782918149466,1.335113484646195,0.0,0.0,3.597122302158273
2018-01,2018-01,2018-01-01,2018,1,True,45,707.6,632.0,31842,32.81687011663309,1001,1.0,7.717854774142256,206,0.6,0.7442196688633161,28,0.2222222222222222,0.2762527515140237,10,0.15555555555555556,5.2754729329787775,161,0.7333333333333333,0.2689388252907387,33.13253012048193,1.5797788309636651,0.0,0.0,3.0120481927710845
2018-02,2018-02,2018-02-01,2018,2,True,44,670.6818181818181,567.0,29510,21.739395091976306,680,1.0,6.094171354738811,139,0.6363636363636364,1.6592234634038001,43,0.3409090909090909,0.2761970797401553,6,0.13636363636363635,6.132502094369355,178,0.8409090909090909,0.4887251006569188,19.71383147853736,1.972564917704475,0.0,0.0,4.65913887716336
2018-03,2018-03,2018-03-01,2018,3,True,81,648.7037037037037,510.0,52545,20.209753364575445,1045,1.0,6.528591307974939,297,0.6666666666666666,1.7576679269783932,72,0.2839506172839506,0.4076013862460838,20,0.16049382716049382,3.557194462329568,190,0.654320987654321,0.5576726642194284,17.982799061767004,2.109704641350211,0.0,0.0,2.336448598130841
2018-04,2018-04,2018-04-01,2018,4,True,83,551.6626506024096,488.0,45788,25.305152616579967,1113,1.0,3.688402824401452,157,0.40963855421686746,0.4015995280580638,23,0.1927710843373494,0.20700022458054515,12,0.12048192771084337,3.2225214267004874,167,0.6385542168674698,0.24150268717373072,23.80952380952381,0.0,0.0,0.0,2.197802197802198
2018-05,2018-05,2018-05-01,2018,5,True,44,774.3863636363636,650.0,34073,28.712572736305678,942,1.0,9.979394697681029,291,0.7727272727272727,1.2893969164089591,48,0.25,0.17656544536430646,6,0.11363636363636363,5.349287695238485,178,0.9772727272727273,0.4209494760087713,27.663038727161464,4.62243050378102,0.0,0.0,4.699552493670141
2018-06,2018-06,2018-06-01,2018,6,True,84,587.5595238095239,484.0,49355,32.093095597249764,1545,1.0,2.8855740930243146,131,0.5119047619047619,2.72518321035304,132,0.39285714285714285,1.1674074898750182,49,0.30952380952380953,4.594193275349355,237,0.75,0.11856604374869006,31.394966817793545,1.0444880378245618,0.0,0.0,3.3302294301751116
2018-07,2018-07,2018-07-01,2018,7,True,45,755.6,608.0,34002,29.965238619376986,934,1.0,2.69608431192157,97,0.6444444444444445,1.3014662578417142,56,0.37777777777777777,0.8161042263869536,29,0.2222222222222222,4.206995413774646,174,0.8444444444444444,0.09985505269151604,29.16346891788181,1.5584415584415585,0.0,0.0,3.257328990228013
