month_folder,status,processed,pdf_count,keep,drop,review,run_timestamp,download_status_tracker,log_line
2024-09,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2024-09] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2024-10,skipped_existing,no,50,48,2,0,2026-04-29T20:10:58,done,[2024-10] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2024-11,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2024-11] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2024-12,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2024-12] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2025-01,skipped_existing,no,98,78,20,0,2026-04-29T20:10:58,done,[2025-01] status=skipped_existing processed=no pdf_count=98 keep=78 drop=20 review=0
2025-02,skipped_existing,no,97,75,22,0,2026-04-29T20:10:58,done,[2025-02] status=skipped_existing processed=no pdf_count=97 keep=75 drop=22 review=0
2025-03,skipped_existing,no,99,81,18,0,2026-04-29T20:10:58,done,[2025-03] status=skipped_existing processed=no pdf_count=99 keep=81 drop=18 review=0
2025-04,skipped_existing,no,78,66,12,0,2026-04-29T20:10:58,done,[2025-04] status=skipped_existing processed=no pdf_count=78 keep=66 drop=12 review=0
2025-05,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2025-05] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2025-06,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2025-06] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2025-07,skipped_existing,no,100,73,27,0,2026-04-29T20:10:58,done,[2025-07] status=skipped_existing processed=no pdf_count=100 keep=73 drop=27 review=0
2025-08,skipped_existing,no,94,72,22,0,2026-04-29T20:10:58,done,[2025-08] status=skipped_existing processed=no pdf_count=94 keep=72 drop=22 review=0
2025-09,skipped_existing,no,99,76,23,0,2026-04-29T20:10:58,done,[2025-09] status=skipped_existing processed=no pdf_count=99 keep=76 drop=23 review=0
2025-10,skipped_existing,no,86,72,14,0,2026-04-29T20:10:58,done,[2025-10] status=skipped_existing processed=no pdf_count=86 keep=72 drop=14 review=0
2025-11,skipped_existing,no,83,73,10,0,2026-04-29T20:10:58,done,[2025-11] status=skipped_existing processed=no pdf_count=83 keep=73 drop=10 review=0
2025-12,skipped_existing,no,113,88,25,0,2026-04-29T20:10:58,done,[2025-12] status=skipped_existing processed=no pdf_count=113 keep=88 drop=25 review=0
