month,year_month,year,month_num,nexis_total_results,media_salience_volume_raw,media_salience_volume_log1p,media_salience_volume_z,raw_article_count,download_fraction,retrieval_mismatch_flag,high_download_sample_flag,kept_article_count,cleaned_sample_size,cleaned_sample_fraction,cleaned_sample_log1p,cleaned_sample_z
2020-05,2020-05,2020,5,72,72,4.290459441148391,-0.7121921392224448,50,0.6944444444444444,False,False,44,44,0.6111111111111112,3.8066624897703196,-0.652998980655809
2020-06,2020-06,2020,6,54,54,4.007333185232471,-0.8308415326924316,50,0.9259259259259259,False,False,43,43,0.7962962962962963,3.784189633918261,-0.7063888344201203
2020-07,2020-07,2020,7,75,75,4.330733340286331,-0.6924172403107804,50,0.6666666666666666,False,False,41,41,0.5466666666666666,3.7376696182833684,-0.8131685419487432
2020-08,2020-08,2020,8,69,69,4.248495242049359,-0.7319670381341093,50,0.7246376811594203,False,False,42,42,0.6086956521739131,3.7612001156935624,-0.7597786881844317
2020-09,2020-09,2020,9,178,178,5.187385805840755,-0.01347904434363453,99,0.5561797752808989,False,True,82,82,0.4606741573033708,4.418840607796598,1.3758154623880248
2020-10,2020-10,2020,10,75,75,4.330733340286331,-0.6924172403107804,50,0.6666666666666666,False,False,44,44,0.5866666666666667,3.8066624897703196,-0.652998980655809
2020-11,2020-11,2020,11,48,48,3.8918202981106265,-0.8703913305157605,48,1.0,False,False,45,45,0.9375,3.828641396489095,-0.5996091268914975
2020-12,2020-12,2020,12,74,74,4.31748811353631,-0.6990088732813352,50,0.6756756756756757,False,False,43,43,0.581081081081081,3.784189633918261,-0.7063888344201203
2021-01,2021-01,2021,1,67,67,4.219507705176107,-0.745150304075219,50,0.746268656716418,False,False,43,43,0.6417910447761194,3.784189633918261,-0.7063888344201203
2021-02,2021-02,2021,2,44,44,3.8066624897703196,-0.8967578623979797,44,1.0,False,False,39,39,0.8863636363636364,3.6888794541139363,-0.919948249477366
2021-03,2021-03,2021,3,51,51,3.9512437185814275,-0.850616431604096,50,0.9803921568627451,False,False,44,44,0.8627450980392157,3.8066624897703196,-0.652998980655809
2021-04,2021-04,2021,4,75,75,4.330733340286331,-0.6924172403107804,50,0.6666666666666666,False,False,42,42,0.56,3.7612001156935624,-0.7597786881844317
2021-05,2021-05,2021,5,55,55,4.02535169073515,-0.8242498997218768,55,1.0,False,True,41,41,0.7454545454545455,3.7376696182833684,-0.8131685419487432
2021-06,2021-06,2021,6,57,57,4.060443010546419,-0.8110666337807672,50,0.8771929824561403,False,False,42,42,0.7368421052631579,3.7612001156935624,-0.7597786881844317
2021-07,2021-07,2021,7,75,75,4.330733340286331,-0.6924172403107804,50,0.6666666666666666,False,False,43,43,0.5733333333333334,3.784189633918261,-0.7063888344201203
2021-08,2021-08,2021,8,115,115,4.7535901911063645,-0.4287519214885879,50,0.43478260869565216,False,False,42,42,0.3652173913043478,3.7612001156935624,-0.7597786881844317
2021-09,2021-09,2021,9,75,75,4.330733340286331,-0.6924172403107804,75,1.0,False,True,63,63,0.84,4.1588830833596715,0.36140824086610784
